Region,Site,Species,Treatment,Nubbin ID,Rack..,Survival,Percentage.dead,Color1,Color2,Color.Average,Y,,Symbiont.ID,SymbiontID_KB,Coral.ID,CoralID_KB,Holobiont
Lizard,Turtle South,Pocillopora,Adult,LA025,16,1,0,5,5,5,,,C1cd,C1,Pver(OPI40),Pver,Pver(OPI40)C. pacificum
Lizard,Turtle South,Pocillopora,Adult,LA026,16,0,100,,,,,,C1cd,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Turtle South,Pocillopora,Adult,LA027,9,1,3,5,5,5,,,C1cd,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Turtle South,Pocillopora,Adult,LA028,16,1,0,4,5,4.5,,,C1cd,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Turtle South,Pocillopora,Adult,LA029,16,1,0,4,3,3.5,,,C1cd,C1,Pver_Pbairdi,Pbairdi,Pver_PbairdiC. pacificum
Lizard,Turtle South,Pocillopora,Adult,LA030,16,1,0,4,3,3.5,,,C1cd,C1,Pver(OPI40),Pver,Pver(OPI40)C. pacificum
Lizard,Turtle South,Pocillopora,Adult,LA031,9,1,45,4,2,3,,,C1cd,C1,Pver(OPI40),Pver,Pver(OPI40)C. pacificum
Lizard,Turtle South,Pocillopora,Adult,LA032,6,0,100,,,,,,,,Pnew (rel to Pver_OPI),Pver,Pnew (rel Pbairdi)C. pacificum
Lizard,Turtle South,Pocillopora,Adult,LA033,12,1,7,3,3,3,,,,,,,
Lizard,Turtle South,Pocillopora,Adult,LA034,5,1,0,4,4,4,,,,,,,
Lizard,Turtle South,Pocillopora,Adult,LA035,6,1,0,4,4,4,,,,,,,
Lizard,Turtle South,Pocillopora,Adult,LA036,5,1,0,4,4,4,,,,,,,
Lizard,Granite Bluff,Pocillopora,Adult,LA037,13,1,0,2,4,3,,,,,,,
Lizard,Granite Bluff,Pocillopora,Adult,LA038,11,1,45,4,3,3.5,,,,,,,
Lizard,Granite Bluff,Pocillopora,Adult,LA039,11,1,0,4,4,4,,,,,,,
Lizard,Granite Bluff,Pocillopora,Adult,LA040,13,1,0,2,2,2,,,,,,,
Lizard,Big Vicki's,Pocillopora,Adult,LA041,8,1,95,2,2,2,,,,,,,
Lizard,Big Vicki's,Pocillopora,Adult,LA042,8,0,100,,,,,,,,,,
Lizard,Big Vicki's,Pocillopora,Adult,LA043,3,1,3,6,5,5.5,,,,,,,
Lizard,Big Vicki's,Pocillopora,Adult,LA044,3,1,25,4,4,4,,,,,,,
Lizard,Turtle South,Pocillopora,Adult,LA045,12,1,0,5,4,4.5,,,,,,,
Lizard,Turtle South,Pocillopora,Adult,LA046,12,1,0,2,3,2.5,,,,,,,
Lizard,Turtle South,Pocillopora,Adult,LA047,9,1,7,5,4,4.5,,,,,,,
Lizard,Turtle South,Pocillopora,Adult,LA048,7,1,0,6,4,5,,,,,,,
Lizard,Granite Bluff,Stylophora,Adult,LA049,18,1,5,1,4,2.5,,,C8b,C8,,C8,C8 group
Lizard,Granite Bluff,Stylophora,Adult,LA050,17,1,3,4,2,3,,,C8b,C8,,C8,C8 group
Lizard,Granite Bluff,Stylophora,Adult,LA051,11,1,2,4,1,2.5,,,C8b,C8,,C8,C8 group
Lizard,Granite Bluff,Stylophora,Adult,LA052,18,1,0,2,4,3,,,C8b,C8,,C8,C8 group
Lizard,Granite Bluff,Stylophora,Adult,LA053,11,1,0,4,1,2.5,,,C8x,C8,,C8,C8 group
Lizard,Granite Bluff,Stylophora,Adult,LA054,11,1,0,4,1,2.5,,,C8b,C8,,C8,C8 group
Lizard,Granite Bluff,Stylophora,Adult,LA055,18,1,0,1,4,2.5,,,C8b,C8,,C8,C8 group
Lizard,Granite Bluff,Stylophora,Adult,LA056,11,1,15,4,1,2.5,,,C8b,C8,,C8,C8 group
Lizard,Granite Bluff,Stylophora,Adult,LA057,11,1,10,4,2,3,,,,,,,
Lizard,Granite Bluff,Stylophora,Adult,LA058,2,1,3,4,1,2.5,,,,,,,
Lizard,Granite Bluff,Stylophora,Adult,LA059,8,1,10,3,2,2.5,,,,,,,
Lizard,Granite Bluff,Stylophora,Adult,LA060,11,1,5,3,1,2,,,,,,,
Lizard,Granite Bluff,Stylophora,Adult,LA061,10,1,3,4,3,3.5,,,,,,,
Lizard,Granite Bluff,Stylophora,Adult,LA062,18,1,2,4,2,3,,,,,,,
Lizard,Granite Bluff,Stylophora,Adult,LA063,8,1,5,4,1,2.5,,,,,,,
Lizard,Granite Bluff,Stylophora,Adult,LA064,8,1,3,4,1,2.5,,,,,,,
Lizard,Big Vicki's,Stylophora,Adult,LA065,3,1,0,2,2,2,,,C8b,C8,,C8,C8 group
Lizard,Big Vicki's,Stylophora,Adult,LA066,8,1,15,3,2,2.5,,,C8x,C8,,C8,C8 group
Lizard,Big Vicki's,Stylophora,Adult,LA067,3,1,0,3,3,3,,,C8b,C8,,C8,C8 group
Lizard,Big Vicki's,Stylophora,Adult,LA068,14,1,5,3,2,2.5,,,C8x,C8,,C8,C8 group
Lizard,Big Vicki's,Stylophora,Adult,LA069,3,1,3,2,2,2,,,C8x,C8,,C8,C8 group
Lizard,Big Vicki's,Stylophora,Adult,LA070,8,1,5,4,3,3.5,,,C8b,C8,,C8,C8 group
Lizard,Big Vicki's,Stylophora,Adult,LA071,3,1,30,3,3,3,,,C8x,C8,,C8,C8 group
Lizard,Big Vicki's,Stylophora,Adult,LA072,4,1,55,1,3,2,,,C8x,C8,,C8,C8 group
Lizard,Big Vicki's,Stylophora,Adult,LA073,15,1,2,4,3,3.5,,,,,,,
Lizard,Big Vicki's,Stylophora,Adult,LA074,14,1,25,4,2,3,,,,,,,
Lizard,Big Vicki's,Stylophora,Adult,LA075,7,1,5,3,4,3.5,,,,,,,
Lizard,Big Vicki's,Stylophora,Adult,LA076,16,1,10,3,4,3.5,,,,,,,
Lizard,Big Vicki's,Stylophora,Adult,LA077,16,1,7,2,3,2.5,,,,,,,
Lizard,Big Vicki's,Stylophora,Adult,LA078,15,1,0,2,4,3,,,,,,,
Lizard,Big Vicki's,Stylophora,Adult,LA079,16,1,7,2,4,3,,,,,,,
Lizard,Big Vicki's,Stylophora,Adult,LA080,15,1,2,6,2,4,,,,,,,
Lizard,Turtle South,Stylophora,Adult,LA081,12,1,0,4,2,3,,,C8b,C8,,C8,C8 group
Lizard,Turtle South,Stylophora,Adult,LA082,5,1,0,2,4,3,,,C8b,C8,,C8,C8 group
Lizard,Turtle South,Stylophora,Adult,LA083,12,1,0,3,2,2.5,,,C8b,C8,,C8,C8 group
Lizard,Turtle South,Stylophora,Adult,LA084,1,1,0,4,1,2.5,,,C8b,C8,,C8,C8 group
Lizard,Turtle South,Stylophora,Adult,LA085,6,1,5,4,2,3,,,C8b,C8,,C8,C8 group
Lizard,Turtle South,Stylophora,Adult,LA086,5,1,0,2,2,2,,,C8b,C8,,C8,C8 group
