Holobiont,Species,Time,Region,Treatment,Sample_ID,Nubbin_ID,host_d15N,host_d13C,host_CN_molar,sym_d15N,sym_d13C,sym_CN_molar
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Adult,LA004,LA004,4.6,-16.3,5.3,2.8,-15.8,7
Pver(OPI40)C. pacificum,Pocillopora,Before,Lizard,Adult,LA006,LA006,3.8,-15.7,5.1,,,
Pver(OPI40)C. pacificum,Pocillopora,Before,Lizard,Adult,LA008,LA008,4.1,-15.9,5.3,3.5,-14.9,6.8
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Adult,LA013,LA013,3.9,-16.6,5.5,,,
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Adult,LA018,LA018,4.5,-16,5.4,3,-15.6,7.4
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Adult,LA019,LA019,4.1,-15.2,5,,,
Pver(OPI40)C. pacificum,Pocillopora,Before,Lizard,Adult,LA020,LA020,4.2,-15.5,5.5,,,
Pver(OPI40)C. pacificum,Pocillopora,Before,Lizard,Adult,LA025,LA025,4.2,-15.8,5.5,3,-15.2,7.1
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Adult,LA027,LA027,4.3,-15.8,5.5,2.8,-15.2,6.8
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Adult,LA028,LA028,4,-17.1,5.7,3.4,-16.8,6.4
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Adult,LA029,LA029,4,-14.5,5.3,2.4,-14,7
C8 group,Stylophora,Before,Lizard,Adult,LA052,LA052,3.4,-16.1,5.5,3.3,-15.9,6.3
C8 group,Stylophora,Before,Lizard,Adult,LA053,LA053,3.5,-15.8,5.8,1.8,-15.3,6.9
C8 group,Stylophora,Before,Lizard,Adult,LA055,LA055,3.8,-16,5.4,2.2,-15.6,7.3
C8 group,Stylophora,Before,Lizard,Adult,LA056,LA056,3.5,-15.7,5.7,2.7,-15.6,6.6
C8 group,Stylophora,Before,Lizard,Adult,LA065,LA065,3.6,-16.4,5.6,3.4,-16.3,5.6
